Time,Solar Radiation (W/m²),Wind Speed 10m (m/s),Estimated Wind Speed 2m (m/s),Cloud Cover (%),Relative Humidity (%),Dew Point (°C)
2025-06-03T00:00,0.0,1.6,1.27,100,81,24.91
2025-06-03T01:00,0.0,0.71,0.56,100,85,23.67
2025-06-03T02:00,0.0,0.73,0.58,100,85,23.47
2025-06-03T03:00,0.0,0.61,0.48,100,86,23.47
2025-06-03T04:00,0.0,0.5,0.4,100,87,23.56
2025-06-03T05:00,0.0,0.45,0.36,100,88,23.46
2025-06-03T06:00,0.0,0.22,0.17,100,89,23.55
2025-06-03T07:00,21.0,0.22,0.17,100,92,23.9
2025-06-03T08:00,77.0,0.5,0.4,100,93,24.88
2025-06-03T09:00,145.0,0.91,0.72,100,84,24.15
2025-06-03T10:00,226.0,1.12,0.89,100,82,24.44
2025-06-03T11:00,321.0,1.04,0.83,100,80,24.61
2025-06-03T12:00,284.0,0.89,0.71,98,78,24.67
2025-06-03T13:00,285.0,1.41,1.12,98,78,24.86
2025-06-03T14:00,351.0,1.3,1.03,98,77,25.13
2025-06-03T15:00,258.0,1.53,1.22,100,75,24.49
2025-06-03T16:00,168.0,1.42,1.13,100,76,24.23
2025-06-03T17:00,101.0,1.08,0.86,100,80,24.61
2025-06-03T18:00,53.0,0.61,0.48,100,84,25.04
2025-06-03T19:00,8.0,0.58,0.46,100,86,24.94
2025-06-03T20:00,0.0,0.71,0.56,100,88,25.03
2025-06-03T21:00,0.0,0.76,0.6,100,87,24.64
2025-06-03T22:00,0.0,0.63,0.5,100,84,24.06
2025-06-03T23:00,0.0,0.78,0.62,100,82,23.46
2025-06-04T00:00,0.0,0.85,0.68,100,84,23.37
2025-06-04T01:00,0.0,0.57,0.45,93,85,23.28
2025-06-04T02:00,0.0,0.42,0.33,85,86,23.37
2025-06-04T03:00,0.0,0.63,0.5,87,88,23.26
2025-06-04T04:00,0.0,0.7,0.56,97,92,23.41
2025-06-04T05:00,0.0,0.6,0.48,93,94,23.37
2025-06-04T06:00,0.0,0.45,0.36,91,96,23.42
2025-06-04T07:00,68.0,0.36,0.29,88,96,24.12
2025-06-04T08:00,251.0,0.3,0.24,89,81,24.23
2025-06-04T09:00,447.0,0.5,0.4,87,75,24.59
2025-06-04T10:00,578.0,0.78,0.62,95,68,24.19
2025-06-04T11:00,637.0,1.0,0.79,96,64,24.32
2025-06-04T12:00,726.0,1.08,0.86,100,60,24.27
2025-06-04T13:00,775.0,1.3,1.03,86,57,24.07
2025-06-04T14:00,607.0,0.3,0.24,87,57,24.07
2025-06-04T15:00,476.0,2.25,1.79,98,62,24.73
2025-06-04T16:00,397.0,3.39,2.69,100,71,25.11
2025-06-04T17:00,358.0,3.7,2.94,100,70,24.97
2025-06-04T18:00,141.0,3.32,2.64,100,77,25.51
2025-06-04T19:00,21.0,1.48,1.18,100,83,25.71
2025-06-04T20:00,0.0,1.02,0.81,100,87,25.72
2025-06-04T21:00,0.0,1.08,0.86,100,88,25.52
2025-06-04T22:00,0.0,1.44,1.14,100,81,24.13
2025-06-04T23:00,0.0,1.48,1.18,100,75,22.56
2025-06-05T00:00,0.0,1.66,1.32,99,75,22.08
2025-06-05T01:00,0.0,1.12,0.89,100,78,22.24
2025-06-05T02:00,0.0,0.92,0.73,99,81,22.28
2025-06-05T03:00,0.0,1.0,0.79,91,85,22.49
2025-06-05T04:00,0.0,0.54,0.43,100,87,22.58
2025-06-05T05:00,0.0,0.57,0.45,100,89,22.46
2025-06-05T06:00,0.0,0.5,0.4,100,92,22.72
2025-06-05T07:00,77.0,0.22,0.17,100,90,23.34
2025-06-05T08:00,277.0,0.14,0.11,100,81,24.42
2025-06-05T09:00,469.0,0.6,0.48,100,71,24.15
2025-06-05T10:00,608.0,1.5,1.19,100,64,23.85
2025-06-05T11:00,607.0,0.95,0.75,100,59,23.43
2025-06-05T12:00,734.0,0.85,0.68,100,54,23.17
2025-06-05T13:00,690.0,0.57,0.45,100,53,23.14
2025-06-05T14:00,583.0,0.1,0.08,100,55,23.66
2025-06-05T15:00,479.0,1.93,1.53,100,55,23.57
2025-06-05T16:00,479.0,2.69,2.14,100,60,24.37
2025-06-05T17:00,284.0,3.37,2.68,100,68,24.76
2025-06-05T18:00,122.0,1.9,1.51,100,73,25.1
2025-06-05T19:00,20.0,1.14,0.91,100,78,25.15
2025-06-05T20:00,0.0,0.82,0.65,100,83,25.32
2025-06-05T21:00,0.0,0.61,0.48,100,87,25.63
2025-06-05T22:00,0.0,0.86,0.68,97,88,25.23
2025-06-05T23:00,0.0,0.95,0.75,100,86,24.45
2025-06-06T00:00,0.0,1.17,0.93,100,83,23.27
2025-06-06T01:00,0.0,1.12,0.89,100,83,22.78
2025-06-06T02:00,0.0,1.17,0.93,100,85,22.59
2025-06-06T03:00,0.0,1.0,0.79,100,86,22.39
2025-06-06T04:00,0.0,0.81,0.64,100,87,22.09
2025-06-06T05:00,0.0,0.67,0.53,100,91,22.04
2025-06-06T06:00,0.0,0.86,0.68,100,94,21.98
2025-06-06T07:00,63.0,0.67,0.53,100,92,22.42
2025-06-06T08:00,201.0,0.51,0.41,100,84,22.79
2025-06-06T09:00,378.0,0.45,0.36,100,72,22.95
2025-06-06T10:00,557.0,0.45,0.36,100,62,22.66
2025-06-06T11:00,692.0,0.7,0.56,100,58,22.77
2025-06-06T12:00,773.0,1.04,0.83,100,57,23.32
2025-06-06T13:00,790.0,1.14,0.91,100,56,23.49
2025-06-06T14:00,735.0,1.51,1.2,100,55,23.57
2025-06-06T15:00,622.0,2.53,2.01,100,54,23.35
2025-06-06T16:00,485.0,3.18,2.53,100,55,23.29
2025-06-06T17:00,339.0,2.78,2.21,100,60,23.62
2025-06-06T18:00,184.0,1.97,1.57,100,68,24.1
2025-06-06T19:00,48.0,1.5,1.19,100,75,24.4
2025-06-06T20:00,0.0,0.98,0.78,72,81,24.72
2025-06-06T21:00,0.0,0.63,0.5,43,86,25.04
2025-06-06T22:00,0.0,0.76,0.6,15,89,25.03
2025-06-06T23:00,0.0,0.85,0.68,43,89,24.63
2025-06-07T00:00,0.0,0.7,0.56,72,88,24.25
2025-06-07T01:00,0.0,0.73,0.58,100,87,23.76
2025-06-07T02:00,0.0,0.67,0.53,67,87,23.37
2025-06-07T03:00,0.0,0.64,0.51,33,87,22.88
2025-06-07T04:00,0.0,0.64,0.51,0,88,22.77
2025-06-07T05:00,0.0,0.64,0.51,1,90,22.94
2025-06-07T06:00,0.0,0.58,0.46,3,92,23.11
2025-06-07T07:00,87.0,0.76,0.6,4,91,23.62
2025-06-07T08:00,260.0,1.04,0.83,18,83,24.05
2025-06-07T09:00,456.0,1.53,1.22,33,72,24.29
2025-06-07T10:00,633.0,1.94,1.54,47,62,23.88
2025-06-07T11:00,738.0,2.45,1.95,63,56,23.49
2025-06-07T12:00,769.0,2.96,2.35,79,52,23.1
2025-06-07T13:00,744.0,2.89,2.3,95,51,23.14
2025-06-07T14:00,686.0,1.79,1.42,93,53,23.78
2025-06-07T15:00,589.0,0.81,0.64,91,57,24.63
2025-06-07T16:00,448.0,1.44,1.14,89,61,25.02
2025-06-07T17:00,277.0,1.2,0.95,93,66,25.31
2025-06-07T18:00,123.0,0.71,0.56,96,71,25.11
2025-06-07T19:00,27.0,1.06,0.84,100,75,24.78
2025-06-07T20:00,0.0,1.22,0.97,100,78,24.57
2025-06-07T21:00,0.0,1.22,0.97,99,80,24.22
2025-06-07T22:00,0.0,1.14,0.91,99,81,23.84
2025-06-07T23:00,0.0,1.06,0.84,99,82,23.56
2025-06-08T00:00,0.0,1.0,0.79,100,83,23.37
2025-06-08T01:00,0.0,0.89,0.71,100,84,23.37
2025-06-08T02:00,0.0,1.9,1.51,100,82,24.73
2025-06-08T03:00,0.0,1.81,1.44,100,83,24.74
2025-06-08T04:00,0.0,1.8,1.43,100,84,24.94
2025-06-08T05:00,0.0,1.7,1.35,100,85,25.04
2025-06-08T06:00,0.0,1.6,1.27,100,86,25.33
2025-06-08T07:00,75.0,1.5,1.19,100,84,25.33
2025-06-08T08:00,227.0,1.7,1.35,92,78,24.96
2025-06-08T09:00,405.0,2.19,1.74,84,69,24.15
2025-06-08T10:00,567.0,2.42,1.92,76,63,23.58
2025-06-08T11:00,670.0,1.8,1.43,84,61,23.7
2025-06-08T12:00,705.0,1.71,1.36,92,62,24.35
2025-06-08T13:00,679.0,2.33,1.85,100,63,24.71
2025-06-08T14:00,596.0,2.64,2.1,100,65,24.86
2025-06-08T15:00,473.0,2.82,2.24,100,68,24.95
2025-06-08T16:00,343.0,2.79,2.22,100,71,25.11
2025-06-08T17:00,223.0,2.21,1.76,100,75,25.55
2025-06-08T18:00,112.0,1.44,1.14,100,80,26.26
2025-06-08T19:00,28.0,0.85,0.68,100,83,26.49
2025-06-08T20:00,0.0,0.71,0.56,100,83,26.4
2025-06-08T21:00,0.0,1.35,1.07,100,80,25.67
2025-06-08T22:00,0.0,1.98,1.57,100,79,25.27
2025-06-08T23:00,0.0,1.98,1.57,100,79,24.98
2025-06-09T00:00,0.0,1.63,1.3,100,80,24.8
2025-06-09T01:00,0.0,1.42,1.13,100,81,24.72
2025-06-09T02:00,0.0,1.39,1.1,100,83,24.83
2025-06-09T03:00,0.0,1.58,1.26,100,86,25.24
2025-06-09T04:00,0.0,1.65,1.31,100,88,25.52
2025-06-09T05:00,0.0,1.65,1.31,100,88,25.52
2025-06-09T06:00,0.0,1.68,1.33,100,86,25.24
2025-06-09T07:00,63.0,1.62,1.29,100,83,25.03
2025-06-09T08:00,196.0,1.61,1.28,100,78,24.76
2025-06-09T09:00,361.0,1.63,1.3,100,71,24.34
2025-06-09T10:00,524.0,1.56,1.24,100,66,24.08
2025-06-09T11:00,654.0,1.03,0.82,95,62,24.07
2025-06-09T12:00,736.0,0.89,0.71,89,58,23.89
2025-06-09T13:00,745.0,1.28,1.02,84,58,24.17
2025-06-09T14:00,657.0,1.63,1.3,89,62,24.63
2025-06-09T15:00,511.0,2.06,1.64,95,69,25.2
2025-06-09T16:00,374.0,2.25,1.79,100,75,25.65
2025-06-09T17:00,262.0,1.87,1.49,100,78,25.93
2025-06-09T18:00,149.0,1.3,1.03,100,80,26.35
2025-06-09T19:00,40.0,0.98,0.78,100,80,26.16
2025-06-09T20:00,0.0,0.99,0.79,100,79,25.66
2025-06-09T21:00,0.0,1.22,0.97,100,76,24.62
2025-06-09T22:00,0.0,1.3,1.03,100,75,24.01
2025-06-09T23:00,0.0,1.27,1.01,100,77,24.26
